file_name,audio_path,audio_exists,duration_sec,gt_rttm_path,gt_exists,gt_segments,gt_unique_speakers,gt_total_speech_sec,pred_rttm_path,pred_exists,pred_segments,pred_unique_speakers,pred_total_speech_sec
bgvvt_dl,classbank_audio_data/audio_tmp/bgvvt_dl.wav,True,1200.06400,classbank_audio_data/rttm/bgvvt.rttm,True,175,2,1004.39,diarization_output/pred_rttms/bgvvt_dl.rttm,True,72,2,1166.82
bgvvt_nodl,classbank_audio_data/audio_tmp/bgvvt_nodl.wav,True,1200.06400,classbank_audio_data/rttm/bgvvt.rttm,True,175,2,1004.39,diarization_output/pred_rttms/bgvvt_nodl.rttm,True,70,2,1168.39
bidnq_dl,classbank_audio_data/audio_tmp/bidnq_dl.wav,True,1029.88800,classbank_audio_data/rttm/bidnq.rttm,True,239,11,1135.54,diarization_output/pred_rttms/bidnq_dl.rttm,True,375,11,1019.11
bjruf_nodl,classbank_audio_data/audio_tmp/bjruf_nodl.wav,True,360.51200,classbank_audio_data/rttm/bjruf.rttm,True,99,2,372.33,diarization_output/pred_rttms/bjruf_nodl.rttm,True,49,2,359.16
bmsyn_dl,classbank_audio_data/audio_tmp/bmsyn_dl.wav,True,710.91200,classbank_audio_data/rttm/bmsyn.rttm,True,313,5,602.19,diarization_output/pred_rttms/bmsyn_dl.rttm,True,146,5,692.19
bmsyn_nodl,classbank_audio_data/audio_tmp/bmsyn_nodl.wav,True,710.91200,classbank_audio_data/rttm/bmsyn.rttm,True,313,5,602.19,diarization_output/pred_rttms/bmsyn_nodl.rttm,True,146,5,692.19
bpzsc_dl,classbank_audio_data/audio_tmp/bpzsc_dl.wav,True,1052.99200,classbank_audio_data/rttm/bpzsc.rttm,True,139,7,1039.34,diarization_output/pred_rttms/bpzsc_dl.rttm,True,390,7,1047.39
bpzsc_nodl,classbank_audio_data/audio_tmp/bpzsc_nodl.wav,True,1052.99200,classbank_audio_data/rttm/bpzsc.rttm,True,139,7,1039.34,diarization_output/pred_rttms/bpzsc_nodl.rttm,True,383,7,1044.68
bvqnu_dl,classbank_audio_data/audio_tmp/bvqnu_dl.wav,True,572.73600,classbank_audio_data/rttm/bvqnu.rttm,True,85,9,554.52,diarization_output/pred_rttms/bvqnu_dl.rttm,True,83,9,571.18
bvqnu_nodl,classbank_audio_data/audio_tmp/bvqnu_nodl.wav,True,572.73600,classbank_audio_data/rttm/bvqnu.rttm,True,85,9,554.52,diarization_output/pred_rttms/bvqnu_nodl.rttm,True,83,9,571.18
bvyvm_dl,classbank_audio_data/audio_tmp/bvyvm_dl.wav,True,117.24800,classbank_audio_data/rttm/bvyvm.rttm,True,16,3,105.16,diarization_output/pred_rttms/bvyvm_dl.rttm,True,4,3,116.80
bvyvm_nodl,classbank_audio_data/audio_tmp/bvyvm_nodl.wav,True,117.24800,classbank_audio_data/rttm/bvyvm.rttm,True,16,3,105.16,diarization_output/pred_rttms/bvyvm_nodl.rttm,True,4,3,116.80
bxcfq_dl,classbank_audio_data/audio_tmp/bxcfq_dl.wav,True,196.48000,classbank_audio_data/rttm/bxcfq.rttm,True,14,2,201.38,diarization_output/pred_rttms/bxcfq_dl.rttm,True,6,2,196.48
bxcfq_nodl,classbank_audio_data/audio_tmp/bxcfq_nodl.wav,True,196.48000,classbank_audio_data/rttm/bxcfq.rttm,True,14,2,201.38,diarization_output/pred_rttms/bxcfq_nodl.rttm,True,6,2,196.48
byapz_dl,classbank_audio_data/audio_tmp/byapz_dl.wav,True,470.01600,classbank_audio_data/rttm/byapz.rttm,True,57,15,417.79,diarization_output/pred_rttms/byapz_dl.rttm,True,145,15,462.34
byapz_nodl,classbank_audio_data/audio_tmp/byapz_nodl.wav,True,470.01600,classbank_audio_data/rttm/byapz.rttm,True,57,15,417.79,diarization_output/pred_rttms/byapz_nodl.rttm,True,145,15,462.34
cadba_dl,classbank_audio_data/audio_tmp/cadba_dl.wav,True,184.25600,classbank_audio_data/rttm/cadba.rttm,True,28,7,178.84,diarization_output/pred_rttms/cadba_dl.rttm,True,28,7,181.15
cadba_nodl,classbank_audio_data/audio_tmp/cadba_nodl.wav,True,184.25600,classbank_audio_data/rttm/cadba.rttm,True,28,7,178.84,diarization_output/pred_rttms/cadba_nodl.rttm,True,28,7,181.15
cawnd_dl,classbank_audio_data/audio_tmp/cawnd_dl.wav,True,1200.06400,classbank_audio_data/rttm/cawnd.rttm,True,77,9,1144.24,diarization_output/pred_rttms/cawnd_dl.rttm,True,165,9,1172.92
cawnd_nodl,classbank_audio_data/audio_tmp/cawnd_nodl.wav,True,1200.06400,classbank_audio_data/rttm/cawnd.rttm,True,77,9,1144.24,diarization_output/pred_rttms/cawnd_nodl.rttm,True,174,9,1179.98
clfcg_dl,classbank_audio_data/audio_tmp/clfcg_dl.wav,True,318.72000,classbank_audio_data/rttm/clfcg.rttm,True,67,9,274.25,diarization_output/pred_rttms/clfcg_dl.rttm,True,36,9,310.38
clfcg_nodl,classbank_audio_data/audio_tmp/clfcg_nodl.wav,True,318.72000,classbank_audio_data/rttm/clfcg.rttm,True,67,9,274.25,diarization_output/pred_rttms/clfcg_nodl.rttm,True,36,9,310.38
cpebh_dl,classbank_audio_data/audio_tmp/cpebh_dl.wav,True,671.04000,classbank_audio_data/rttm/cpebh.rttm,True,11,1,647.66,diarization_output/pred_rttms/cpebh_dl.rttm,True,1,1,670.90
cpebh_nodl,classbank_audio_data/audio_tmp/cpebh_nodl.wav,True,671.04000,classbank_audio_data/rttm/cpebh.rttm,True,11,1,647.66,diarization_output/pred_rttms/cpebh_nodl.rttm,True,1,1,670.90
cqfmj_dl,classbank_audio_data/audio_tmp/cqfmj_dl.wav,True,114.94400,classbank_audio_data/rttm/cqfmj.rttm,True,18,4,108.64,diarization_output/pred_rttms/cqfmj_dl.rttm,True,16,4,114.94
cqfmj_nodl,classbank_audio_data/audio_tmp/cqfmj_nodl.wav,True,114.94400,classbank_audio_data/rttm/cqfmj.rttm,True,18,4,108.64,diarization_output/pred_rttms/cqfmj_nodl.rttm,True,16,4,114.94
crorm_dl,classbank_audio_data/audio_tmp/crorm_dl.wav,True,911.16800,classbank_audio_data/rttm/crorm.rttm,True,51,2,871.94,diarization_output/pred_rttms/crorm_dl.rttm,True,40,2,886.34
crorm_nodl,classbank_audio_data/audio_tmp/crorm_nodl.wav,True,911.16800,classbank_audio_data/rttm/crorm.rttm,True,51,2,871.94,diarization_output/pred_rttms/crorm_nodl.rttm,True,40,2,886.34
crylr_dl,classbank_audio_data/audio_tmp/crylr_dl.wav,True,187.90400,classbank_audio_data/rttm/crylr.rttm,True,34,4,155.86,diarization_output/pred_rttms/crylr_dl.rttm,True,17,4,181.93
crylr_nodl,classbank_audio_data/audio_tmp/crylr_nodl.wav,True,187.90400,classbank_audio_data/rttm/crylr.rttm,True,34,4,155.86,diarization_output/pred_rttms/crylr_nodl.rttm,True,17,4,181.93
cvofp_dl,classbank_audio_data/audio_tmp/cvofp_dl.wav,True,1200.06400,classbank_audio_data/rttm/cvofp.rttm,True,94,6,1096.36,diarization_output/pred_rttms/cvofp_dl.rttm,True,78,6,1183.92
cvofp_nodl,classbank_audio_data/audio_tmp/cvofp_nodl.wav,True,1200.06400,classbank_audio_data/rttm/cvofp.rttm,True,94,6,1096.36,diarization_output/pred_rttms/cvofp_nodl.rttm,True,78,6,1183.92
cwbvu_dl,classbank_audio_data/audio_tmp/cwbvu_dl.wav,True,127.93600,classbank_audio_data/rttm/cwbvu.rttm,True,27,10,144.13,diarization_output/pred_rttms/cwbvu_dl.rttm,True,30,10,120.83
cwbvu_nodl,classbank_audio_data/audio_tmp/cwbvu_nodl.wav,True,127.93600,classbank_audio_data/rttm/cwbvu.rttm,True,27,10,144.13,diarization_output/pred_rttms/cwbvu_nodl.rttm,True,30,10,120.83
dgvwu_dl,classbank_audio_data/audio_tmp/dgvwu_dl.wav,True,780.99200,classbank_audio_data/rttm/dgvwu.rttm,True,115,11,775.34,diarization_output/pred_rttms/dgvwu_dl.rttm,True,137,11,773.92
dgvwu_nodl,classbank_audio_data/audio_tmp/dgvwu_nodl.wav,True,780.99200,classbank_audio_data/rttm/dgvwu.rttm,True,115,11,775.34,diarization_output/pred_rttms/dgvwu_nodl.rttm,True,137,11,773.92
diysk_dl,classbank_audio_data/audio_tmp/diysk_dl.wav,True,1178.88000,classbank_audio_data/rttm/diysk.rttm,True,458,15,1133.48,diarization_output/pred_rttms/diysk_dl.rttm,True,374,15,1162.68
diysk_nodl,classbank_audio_data/audio_tmp/diysk_nodl.wav,True,1178.88000,classbank_audio_data/rttm/diysk.rttm,True,458,15,1133.48,diarization_output/pred_rttms/diysk_nodl.rttm,True,370,15,1166.30
dkabn_dl,classbank_audio_data/audio_tmp/dkabn_dl.wav,True,1200.06400,classbank_audio_data/rttm/dkabn.rttm,True,150,7,1087.22,diarization_output/pred_rttms/dkabn_dl.rttm,True,95,7,1184.45
dkabn_nodl,classbank_audio_data/audio_tmp/dkabn_nodl.wav,True,1200.06400,classbank_audio_data/rttm/dkabn.rttm,True,150,7,1087.22,diarization_output/pred_rttms/dkabn_nodl.rttm,True,95,7,1184.45
dlast_dl,classbank_audio_data/audio_tmp/dlast_dl.wav,True,1200.06400,classbank_audio_data/rttm/dlast.rttm,True,61,9,1128.67,diarization_output/pred_rttms/dlast_dl.rttm,True,82,9,1189.12
dlast_nodl,classbank_audio_data/audio_tmp/dlast_nodl.wav,True,1200.06400,classbank_audio_data/rttm/dlast.rttm,True,61,9,1128.67,diarization_output/pred_rttms/dlast_nodl.rttm,True,82,9,1189.12
dohag_dl,classbank_audio_data/audio_tmp/dohag_dl.wav,True,43.90400,classbank_audio_data/rttm/dohag.rttm,True,3,1,39.62,diarization_output/pred_rttms/dohag_dl.rttm,True,2,1,40.77
dohag_nodl,classbank_audio_data/audio_tmp/dohag_nodl.wav,True,43.90400,classbank_audio_data/rttm/dohag.rttm,True,3,1,39.62,diarization_output/pred_rttms/dohag_nodl.rttm,True,1,1,41.76
duvox_dl,classbank_audio_data/audio_tmp/duvox_dl.wav,True,990.20800,classbank_audio_data/rttm/duvox.rttm,True,116,6,907.07,diarization_output/pred_rttms/duvox_dl.rttm,True,90,6,983.16
duvox_nodl,classbank_audio_data/audio_tmp/duvox_nodl.wav,True,990.20800,classbank_audio_data/rttm/duvox.rttm,True,116,6,907.07,diarization_output/pred_rttms/duvox_nodl.rttm,True,114,6,983.31
dxbbt_dl,classbank_audio_data/audio_tmp/dxbbt_dl.wav,True,676.35200,classbank_audio_data/rttm/dxbbt.rttm,True,65,3,661.02,diarization_output/pred_rttms/dxbbt_dl.rttm,True,30,3,670.08
dxbbt_nodl,classbank_audio_data/audio_tmp/dxbbt_nodl.wav,True,676.35200,classbank_audio_data/rttm/dxbbt.rttm,True,65,3,661.02,diarization_output/pred_rttms/dxbbt_nodl.rttm,True,30,3,670.08
