alpha=0.20, onset=0.45, offset=0.40,     | FA: 0.0908 | MISS: 0.2267 | CER: 0.0533 | DER: 0.3708 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.40,     | FA: 0.0907 | MISS: 0.2270 | CER: 0.0540 | DER: 0.3718 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.40,     | FA: 0.0906 | MISS: 0.2275 | CER: 0.0545 | DER: 0.3725 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.40,     | FA: 0.0905 | MISS: 0.2277 | CER: 0.0540 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.40,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.0537 | DER: 0.3722 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.40,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.0533 | DER: 0.3720 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.40,     | FA: 0.0904 | MISS: 0.2287 | CER: 0.0533 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.40,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.0537 | DER: 0.3729 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.40,     | FA: 0.0891 | MISS: 0.2315 | CER: 0.0528 | DER: 0.3734 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.40,     | FA: 0.0843 | MISS: 0.2541 | CER: 0.0454 | DER: 0.3838 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.45,     | FA: 0.0906 | MISS: 0.2273 | CER: 0.0542 | DER: 0.3721 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.45,     | FA: 0.0905 | MISS: 0.2278 | CER: 0.0525 | DER: 0.3708 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.45,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.0539 | DER: 0.3724 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.45,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.0536 | DER: 0.3724 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.45,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.0533 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.45,     | FA: 0.0903 | MISS: 0.2291 | CER: 0.0521 | DER: 0.3715 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.45,     | FA: 0.0901 | MISS: 0.2294 | CER: 0.0543 | DER: 0.3739 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.45,     | FA: 0.0890 | MISS: 0.2319 | CER: 0.0534 | DER: 0.3742 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.45,     | FA: 0.0842 | MISS: 0.2544 | CER: 0.0454 | DER: 0.3840 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.50,     | FA: 0.0904 | MISS: 0.2281 | CER: 0.0531 | DER: 0.3716 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.50,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.0535 | DER: 0.3722 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.50,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.0531 | DER: 0.3721 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.50,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.0543 | DER: 0.3736 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.50,     | FA: 0.0902 | MISS: 0.2293 | CER: 0.0542 | DER: 0.3737 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.50,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.0525 | DER: 0.3722 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.50,     | FA: 0.0889 | MISS: 0.2321 | CER: 0.0522 | DER: 0.3732 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.50,     | FA: 0.0841 | MISS: 0.2548 | CER: 0.0466 | DER: 0.3854 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.55,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.0538 | DER: 0.3728 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.55,     | FA: 0.0902 | MISS: 0.2290 | CER: 0.0530 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.55,     | FA: 0.0902 | MISS: 0.2293 | CER: 0.0527 | DER: 0.3722 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.55,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.0531 | DER: 0.3728 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.55,     | FA: 0.0900 | MISS: 0.2300 | CER: 0.0532 | DER: 0.3732 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.55,     | FA: 0.0888 | MISS: 0.2324 | CER: 0.0509 | DER: 0.3721 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.55,     | FA: 0.0840 | MISS: 0.2550 | CER: 0.0470 | DER: 0.3859 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.60,     | FA: 0.0902 | MISS: 0.2294 | CER: 0.0533 | DER: 0.3728 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.60,     | FA: 0.0901 | MISS: 0.2297 | CER: 0.0525 | DER: 0.3723 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.60,     | FA: 0.0900 | MISS: 0.2300 | CER: 0.0527 | DER: 0.3728 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.60,     | FA: 0.0899 | MISS: 0.2305 | CER: 0.0523 | DER: 0.3727 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.60,     | FA: 0.0888 | MISS: 0.2328 | CER: 0.0523 | DER: 0.3739 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.60,     | FA: 0.0839 | MISS: 0.2554 | CER: 0.0467 | DER: 0.3860 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.65,     | FA: 0.0900 | MISS: 0.2299 | CER: 0.0526 | DER: 0.3726 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.65,     | FA: 0.0899 | MISS: 0.2302 | CER: 0.0525 | DER: 0.3727 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.65,     | FA: 0.0898 | MISS: 0.2307 | CER: 0.0521 | DER: 0.3726 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.65,     | FA: 0.0887 | MISS: 0.2330 | CER: 0.0527 | DER: 0.3744 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.65,     | FA: 0.0838 | MISS: 0.2556 | CER: 0.0467 | DER: 0.3861 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.70,     | FA: 0.0899 | MISS: 0.2306 | CER: 0.0526 | DER: 0.3730 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.70,     | FA: 0.0898 | MISS: 0.2310 | CER: 0.0530 | DER: 0.3738 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.70,     | FA: 0.0886 | MISS: 0.2334 | CER: 0.0511 | DER: 0.3730 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.70,     | FA: 0.0838 | MISS: 0.2559 | CER: 0.0444 | DER: 0.3841 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.75,     | FA: 0.0896 | MISS: 0.2314 | CER: 0.0525 | DER: 0.3736 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.75,     | FA: 0.0885 | MISS: 0.2338 | CER: 0.0513 | DER: 0.3735 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.75,     | FA: 0.0836 | MISS: 0.2563 | CER: 0.0443 | DER: 0.3842 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.80,     | FA: 0.0884 | MISS: 0.2341 | CER: 0.0513 | DER: 0.3739 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.80,     | FA: 0.0836 | MISS: 0.2566 | CER: 0.0457 | DER: 0.3859 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.10,     | FA: 0.1609 | MISS: 0.0128 | CER: 0.1170 | DER: 0.2908 | Spk. Count Acc. 1.0000
