alpha=0.20, onset=0.90, offset=0.25,     | FA: 0.0475 | MISS: 0.1819 | CER: 0.4837 | DER: 0.7132 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.30,     | FA: 0.0540 | MISS: 0.1681 | CER: 0.4250 | DER: 0.6472 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.30,     | FA: 0.0540 | MISS: 0.1688 | CER: 0.4995 | DER: 0.7223 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.30,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.4815 | DER: 0.7044 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.30,     | FA: 0.0539 | MISS: 0.1696 | CER: 0.4743 | DER: 0.6978 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.30,     | FA: 0.0539 | MISS: 0.1702 | CER: 0.4505 | DER: 0.6746 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.30,     | FA: 0.0539 | MISS: 0.1706 | CER: 0.4396 | DER: 0.6641 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.30,     | FA: 0.0537 | MISS: 0.1713 | CER: 0.4226 | DER: 0.6476 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.30,     | FA: 0.0537 | MISS: 0.1719 | CER: 0.4222 | DER: 0.6477 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.30,     | FA: 0.0536 | MISS: 0.1721 | CER: 0.4686 | DER: 0.6944 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.30,     | FA: 0.0534 | MISS: 0.1727 | CER: 0.4432 | DER: 0.6693 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.30,     | FA: 0.0529 | MISS: 0.1729 | CER: 0.4296 | DER: 0.6554 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.30,     | FA: 0.0474 | MISS: 0.1824 | CER: 0.4278 | DER: 0.6576 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.35,     | FA: 0.0540 | MISS: 0.1691 | CER: 0.4610 | DER: 0.6840 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.35,     | FA: 0.0539 | MISS: 0.1692 | CER: 0.5160 | DER: 0.7392 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.35,     | FA: 0.0539 | MISS: 0.1699 | CER: 0.5077 | DER: 0.7315 | Spk. Count Acc. 0.7500
