alpha=0.20, onset=0.75, offset=0.30,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.1896 | DER: 0.5082 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.30,     | FA: 0.0904 | MISS: 0.2284 | CER: 0.1987 | DER: 0.5176 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.30,     | FA: 0.0893 | MISS: 0.2309 | CER: 0.1995 | DER: 0.5197 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.30,     | FA: 0.0845 | MISS: 0.2534 | CER: 0.1928 | DER: 0.5307 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.35,     | FA: 0.0910 | MISS: 0.2261 | CER: 0.1978 | DER: 0.5149 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.35,     | FA: 0.0909 | MISS: 0.2264 | CER: 0.1959 | DER: 0.5131 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.35,     | FA: 0.0908 | MISS: 0.2267 | CER: 0.1905 | DER: 0.5080 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.35,     | FA: 0.0907 | MISS: 0.2272 | CER: 0.1976 | DER: 0.5154 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.35,     | FA: 0.0906 | MISS: 0.2275 | CER: 0.1933 | DER: 0.5114 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.35,     | FA: 0.0906 | MISS: 0.2278 | CER: 0.2024 | DER: 0.5208 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.35,     | FA: 0.0905 | MISS: 0.2281 | CER: 0.1971 | DER: 0.5157 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.35,     | FA: 0.0905 | MISS: 0.2284 | CER: 0.1940 | DER: 0.5129 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.35,     | FA: 0.0903 | MISS: 0.2287 | CER: 0.1851 | DER: 0.5042 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.35,     | FA: 0.0892 | MISS: 0.2312 | CER: 0.1881 | DER: 0.5086 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.35,     | FA: 0.0844 | MISS: 0.2538 | CER: 0.1887 | DER: 0.5269 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.40,     | FA: 0.0908 | MISS: 0.2267 | CER: 0.1907 | DER: 0.5081 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.40,     | FA: 0.0907 | MISS: 0.2270 | CER: 0.1937 | DER: 0.5114 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.40,     | FA: 0.0906 | MISS: 0.2275 | CER: 0.2008 | DER: 0.5188 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.40,     | FA: 0.0905 | MISS: 0.2277 | CER: 0.1939 | DER: 0.5122 | Spk. Count Acc. 1.0000
