alpha=1.0, onset=0.75, offset=0.55,     | FA: 0.0306 | MISS: 0.5728 | CER: 0.0209 | DER: 0.6243 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.55,     | FA: 0.0286 | MISS: 0.5911 | CER: 0.0196 | DER: 0.6392 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.55,     | FA: 0.0268 | MISS: 0.6141 | CER: 0.0186 | DER: 0.6595 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.55,     | FA: 0.0239 | MISS: 0.6481 | CER: 0.0190 | DER: 0.6909 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.60,     | FA: 0.0287 | MISS: 0.5909 | CER: 0.0187 | DER: 0.6382 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.60,     | FA: 0.0277 | MISS: 0.5990 | CER: 0.0188 | DER: 0.6455 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.60,     | FA: 0.0272 | MISS: 0.6106 | CER: 0.0201 | DER: 0.6579 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.60,     | FA: 0.0255 | MISS: 0.6274 | CER: 0.0182 | DER: 0.6711 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.60,     | FA: 0.0238 | MISS: 0.6481 | CER: 0.0178 | DER: 0.6897 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.60,     | FA: 0.0218 | MISS: 0.6815 | CER: 0.0170 | DER: 0.7203 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.65,     | FA: 0.0241 | MISS: 0.6402 | CER: 0.0182 | DER: 0.6825 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.65,     | FA: 0.0237 | MISS: 0.6504 | CER: 0.0190 | DER: 0.6931 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.65,     | FA: 0.0227 | MISS: 0.6655 | CER: 0.0189 | DER: 0.7071 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.65,     | FA: 0.0211 | MISS: 0.6845 | CER: 0.0191 | DER: 0.7246 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.65,     | FA: 0.0190 | MISS: 0.7119 | CER: 0.0189 | DER: 0.7498 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.70,     | FA: 0.0210 | MISS: 0.6906 | CER: 0.0193 | DER: 0.7310 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.70,     | FA: 0.0199 | MISS: 0.7043 | CER: 0.0214 | DER: 0.7457 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.70,     | FA: 0.0186 | MISS: 0.7212 | CER: 0.0181 | DER: 0.7578 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.70,     | FA: 0.0166 | MISS: 0.7455 | CER: 0.0166 | DER: 0.7786 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.75,     | FA: 0.0171 | MISS: 0.7439 | CER: 0.0169 | DER: 0.7779 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.75,     | FA: 0.0162 | MISS: 0.7567 | CER: 0.0163 | DER: 0.7891 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.75,     | FA: 0.0150 | MISS: 0.7785 | CER: 0.0168 | DER: 0.8103 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.80,     | FA: 0.0132 | MISS: 0.7965 | CER: 0.0149 | DER: 0.8246 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.80,     | FA: 0.0120 | MISS: 0.8143 | CER: 0.0191 | DER: 0.8454 | Spk. Count Acc. 1.0000
