alpha=0.10, onset=0.70, offset=0.30,     | FA: 0.0536 | MISS: 0.1728 | CER: 0.0452 | DER: 0.2716 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.30,     | FA: 0.0536 | MISS: 0.1731 | CER: 0.0421 | DER: 0.2688 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.30,     | FA: 0.0536 | MISS: 0.1737 | CER: 0.0467 | DER: 0.2740 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.30,     | FA: 0.0533 | MISS: 0.1740 | CER: 0.0458 | DER: 0.2731 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.30,     | FA: 0.0530 | MISS: 0.1746 | CER: 0.0434 | DER: 0.2710 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.35,     | FA: 0.0539 | MISS: 0.1704 | CER: 0.0442 | DER: 0.2684 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.35,     | FA: 0.0539 | MISS: 0.1709 | CER: 0.0436 | DER: 0.2683 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.35,     | FA: 0.0539 | MISS: 0.1713 | CER: 0.0473 | DER: 0.2725 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.35,     | FA: 0.0538 | MISS: 0.1718 | CER: 0.0489 | DER: 0.2746 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.35,     | FA: 0.0537 | MISS: 0.1723 | CER: 0.0430 | DER: 0.2690 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.35,     | FA: 0.0536 | MISS: 0.1729 | CER: 0.0451 | DER: 0.2716 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.35,     | FA: 0.0536 | MISS: 0.1732 | CER: 0.0448 | DER: 0.2716 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.35,     | FA: 0.0536 | MISS: 0.1735 | CER: 0.0478 | DER: 0.2748 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.35,     | FA: 0.0535 | MISS: 0.1741 | CER: 0.0475 | DER: 0.2751 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.35,     | FA: 0.0532 | MISS: 0.1744 | CER: 0.0440 | DER: 0.2715 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.35,     | FA: 0.0529 | MISS: 0.1748 | CER: 0.0472 | DER: 0.2749 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.40,     | FA: 0.0538 | MISS: 0.1716 | CER: 0.0442 | DER: 0.2697 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.40,     | FA: 0.0538 | MISS: 0.1721 | CER: 0.0458 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.40,     | FA: 0.0538 | MISS: 0.1724 | CER: 0.0420 | DER: 0.2682 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.40,     | FA: 0.0536 | MISS: 0.1729 | CER: 0.0435 | DER: 0.2700 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.40,     | FA: 0.0536 | MISS: 0.1735 | CER: 0.0447 | DER: 0.2718 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.40,     | FA: 0.0536 | MISS: 0.1738 | CER: 0.0458 | DER: 0.2731 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.40,     | FA: 0.0535 | MISS: 0.1741 | CER: 0.0460 | DER: 0.2737 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.40,     | FA: 0.0535 | MISS: 0.1746 | CER: 0.0476 | DER: 0.2756 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.40,     | FA: 0.0532 | MISS: 0.1747 | CER: 0.0424 | DER: 0.2703 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.40,     | FA: 0.0528 | MISS: 0.1750 | CER: 0.0449 | DER: 0.2728 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.45,     | FA: 0.0538 | MISS: 0.1726 | CER: 0.0446 | DER: 0.2709 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.45,     | FA: 0.0538 | MISS: 0.1729 | CER: 0.0450 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.45,     | FA: 0.0536 | MISS: 0.1732 | CER: 0.0445 | DER: 0.2713 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.45,     | FA: 0.0536 | MISS: 0.1738 | CER: 0.0455 | DER: 0.2728 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.45,     | FA: 0.0535 | MISS: 0.1740 | CER: 0.0455 | DER: 0.2731 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.45,     | FA: 0.0535 | MISS: 0.1744 | CER: 0.0464 | DER: 0.2743 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.45,     | FA: 0.0535 | MISS: 0.1749 | CER: 0.0453 | DER: 0.2737 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.45,     | FA: 0.0531 | MISS: 0.1751 | CER: 0.0484 | DER: 0.2766 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.45,     | FA: 0.0528 | MISS: 0.1753 | CER: 0.0441 | DER: 0.2721 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.50,     | FA: 0.0538 | MISS: 0.1733 | CER: 0.0416 | DER: 0.2687 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.50,     | FA: 0.0536 | MISS: 0.1737 | CER: 0.0415 | DER: 0.2688 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.50,     | FA: 0.0536 | MISS: 0.1743 | CER: 0.0431 | DER: 0.2710 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.50,     | FA: 0.0535 | MISS: 0.1746 | CER: 0.0459 | DER: 0.2740 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.50,     | FA: 0.0535 | MISS: 0.1748 | CER: 0.0460 | DER: 0.2742 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.50,     | FA: 0.0535 | MISS: 0.1752 | CER: 0.0445 | DER: 0.2732 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.50,     | FA: 0.0531 | MISS: 0.1753 | CER: 0.0484 | DER: 0.2769 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.50,     | FA: 0.0528 | MISS: 0.1755 | CER: 0.0442 | DER: 0.2725 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.55,     | FA: 0.0536 | MISS: 0.1740 | CER: 0.0511 | DER: 0.2787 | Spk. Count Acc. 1.0000
