alpha=0.20, onset=0.65, offset=0.30,     | FA: 0.0537 | MISS: 0.1722 | CER: 0.4645 | DER: 0.6903 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.30,     | FA: 0.0536 | MISS: 0.1725 | CER: 0.4796 | DER: 0.7058 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.30,     | FA: 0.0536 | MISS: 0.1729 | CER: 0.4605 | DER: 0.6870 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.30,     | FA: 0.0536 | MISS: 0.1734 | CER: 0.3945 | DER: 0.6214 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.30,     | FA: 0.0519 | MISS: 0.1814 | CER: 0.4616 | DER: 0.6949 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.30,     | FA: 0.0502 | MISS: 0.1926 | CER: 0.4253 | DER: 0.6681 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.35,     | FA: 0.0539 | MISS: 0.1697 | CER: 0.4448 | DER: 0.6684 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.35,     | FA: 0.0539 | MISS: 0.1704 | CER: 0.4784 | DER: 0.7027 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.35,     | FA: 0.0539 | MISS: 0.1709 | CER: 0.4620 | DER: 0.6868 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.35,     | FA: 0.0538 | MISS: 0.1713 | CER: 0.4247 | DER: 0.6498 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.35,     | FA: 0.0537 | MISS: 0.1718 | CER: 0.4920 | DER: 0.7175 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.35,     | FA: 0.0536 | MISS: 0.1724 | CER: 0.4304 | DER: 0.6565 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.35,     | FA: 0.0536 | MISS: 0.1729 | CER: 0.5002 | DER: 0.7267 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.35,     | FA: 0.0536 | MISS: 0.1733 | CER: 0.4201 | DER: 0.6470 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.35,     | FA: 0.0535 | MISS: 0.1737 | CER: 0.4757 | DER: 0.7029 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.35,     | FA: 0.0519 | MISS: 0.1814 | CER: 0.4815 | DER: 0.7148 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.35,     | FA: 0.0501 | MISS: 0.1929 | CER: 0.4042 | DER: 0.6472 | Spk. Count Acc. 0.7500
