alpha=0.20, onset=0.55, offset=0.30,     | FA: 0.0539 | MISS: 0.1702 | CER: 0.0424 | DER: 0.2665 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.30,     | FA: 0.0539 | MISS: 0.1706 | CER: 0.0430 | DER: 0.2675 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.30,     | FA: 0.0537 | MISS: 0.1713 | CER: 0.0447 | DER: 0.2697 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.30,     | FA: 0.0537 | MISS: 0.1719 | CER: 0.0461 | DER: 0.2716 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.30,     | FA: 0.0536 | MISS: 0.1721 | CER: 0.0458 | DER: 0.2715 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.30,     | FA: 0.0534 | MISS: 0.1727 | CER: 0.0472 | DER: 0.2733 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.30,     | FA: 0.0529 | MISS: 0.1729 | CER: 0.0471 | DER: 0.2730 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.30,     | FA: 0.0474 | MISS: 0.1824 | CER: 0.0467 | DER: 0.2765 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.35,     | FA: 0.0540 | MISS: 0.1691 | CER: 0.0439 | DER: 0.2669 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.35,     | FA: 0.0539 | MISS: 0.1692 | CER: 0.0487 | DER: 0.2719 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.35,     | FA: 0.0539 | MISS: 0.1699 | CER: 0.0438 | DER: 0.2676 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.35,     | FA: 0.0538 | MISS: 0.1705 | CER: 0.0431 | DER: 0.2674 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.35,     | FA: 0.0538 | MISS: 0.1709 | CER: 0.0437 | DER: 0.2684 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.35,     | FA: 0.0537 | MISS: 0.1716 | CER: 0.0445 | DER: 0.2698 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.35,     | FA: 0.0536 | MISS: 0.1721 | CER: 0.0447 | DER: 0.2705 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.35,     | FA: 0.0536 | MISS: 0.1724 | CER: 0.0446 | DER: 0.2706 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.35,     | FA: 0.0533 | MISS: 0.1732 | CER: 0.0440 | DER: 0.2705 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.35,     | FA: 0.0529 | MISS: 0.1733 | CER: 0.0485 | DER: 0.2747 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.35,     | FA: 0.0474 | MISS: 0.1828 | CER: 0.0460 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.40,     | FA: 0.0539 | MISS: 0.1698 | CER: 0.0439 | DER: 0.2676 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.40,     | FA: 0.0538 | MISS: 0.1705 | CER: 0.0434 | DER: 0.2676 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.40,     | FA: 0.0538 | MISS: 0.1711 | CER: 0.0438 | DER: 0.2687 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.40,     | FA: 0.0538 | MISS: 0.1715 | CER: 0.0458 | DER: 0.2711 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.40,     | FA: 0.0536 | MISS: 0.1722 | CER: 0.0451 | DER: 0.2709 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.40,     | FA: 0.0536 | MISS: 0.1727 | CER: 0.0426 | DER: 0.2689 | Spk. Count Acc. 1.0000
